[2023-08-22 07:41:28] [26] [WARN] Reporting disabled: using no op test run registrar
[2023-08-22 07:41:28] [26] [INFO] TEST [LifeFitness Backend Auto Tests - checkResetPasswordWithUpperCaseEmail] STARTED at [07:41:28 2023-08-22]
[2023-08-22 07:41:28] [26] [INFO] Setting default IDP method to call
[2023-08-22 07:41:28] [26] [INFO] Setting up IDP method to SIGN_UP
[2023-08-22 07:41:28] [26] [INFO] Base properties loaded: api/identityplatform/idp.properties
[2023-08-22 07:41:28] [26] [INFO] Sending PostSignUp IDP method to get access token
[2023-08-22 07:41:28] [26] [INFO] Request method:	POST
Request URI:	https://identitytoolkit.googleapis.com/v1/accounts:signUp?key=AIzaSyDuJaUYc3JtGHvbdX_7b-Nav25lXPmzuN0
Request params:	<none>
Query params:	key=AIzaSyDuJaUYc3JtGHvbdX_7b-Nav25lXPmzuN0
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Content-Type=application/json; charset=UTF-8
Body:
{
    "returnSecureToken": true,
    "email": "LIFEFITNESSPOSTMAN+02050158@GMAIL.COM",
    "password": "ydonmxkb7"
}
HTTP/1.1 200 OK
Expires: Mon, 01 Jan 1990 00:00:00 GMT
Cache-Control: no-cache, no-store, max-age=0, must-revalidate
Pragma: no-cache
Date: Tue, 22 Aug 2023 07:41:28 GMT
Content-Type: application/json; charset=UTF-8
Vary: Origin
Vary: X-Origin
Vary: Referer
Content-Encoding: gzip
Server: ESF
X-XSS-Protection: 0
X-Frame-Options: SAMEORIGIN
X-Content-Type-Options: nosniff
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000
Transfer-Encoding: chunked

{
    "kind": "identitytoolkit#SignupNewUserResponse",
    "idToken": "eyJhbGciOiJSUzI1NiIsImtpZCI6IjYzODBlZjEyZjk1ZjkxNmNhZDdhNGNlMzg4ZDJjMmMzYzIzMDJmZGUiLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3NlY3VyZXRva2VuLmdvb2dsZS5jb20vbGZjby1kZXYiLCJhdWQiOiJsZmNvLWRldiIsImF1dGhfdGltZSI6MTY5MjY5MDA4OCwidXNlcl9pZCI6IlptRk0weHY5MDlZT1l6T1d4VUlpMTlGUmJUOTIiLCJzdWIiOiJabUZNMHh2OTA5WU9Zek9XeFVJaTE5RlJiVDkyIiwiaWF0IjoxNjkyNjkwMDg4LCJleHAiOjE2OTI2OTM2ODgsImVtYWlsIjoibGlmZWZpdG5lc3Nwb3N0bWFuKzAyMDUwMTU4QGdtYWlsLmNvbSIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwiZmlyZWJhc2UiOnsiaWRlbnRpdGllcyI6eyJlbWFpbCI6WyJsaWZlZml0bmVzc3Bvc3RtYW4rMDIwNTAxNThAZ21haWwuY29tIl19LCJzaWduX2luX3Byb3ZpZGVyIjoicGFzc3dvcmQifX0.Z4nuu5G9lIjIDYMa-AOM2YgdCQVMcAd7Rfw1qb653KFYVh5vYmxCREh9IbW95ok_xbwIfsbl5BXDaZe7wX4hLplbMpX5iGPfU899FV501XWSos5jugYizCRkoDO9nPq4PUizb6Uq7KZMg6bzRaEqAaNcDbi6k0KytTS5W-UJupbT1C6pUYvH6xxIs9u5EzB_f2X0PRpygMfkRkRi7qnDdQ26XGlHBPNZv6tPwjOmEB9q_IB6SVIhDBYSrdCAs8x-7eU_KfVEpGPC0vwKIDaeMccE8DxCw7WBdfieAJUI-_23-MFf1uPEpDf9ZoMSulhaKs-fLQ4gDhmNonEhzg18Lw",
    "email": "lifefitnesspostman+02050158@gmail.com",
    "refreshToken": "AMf-vBwMg5QwRJHshnvkZvuaD32RQmTd3so1ZFGprcqn4H91ru31mdAswpt-Cg1t6XmcA2CJ682HQAmBzAN1O8EwIDr28DDBzFabefp92RKxkIoM92-YxaqXE6ygjsBlaTLf7NTZ7feX3ygZtJFFtx9w7yf5eTto2-VXTwTe0ijPTdnrY6S8_XL01T5vpyWSYPMA__HhwbehN2zlnw9aQgIGGIDxJjoBVQ",
    "expiresIn": "3600",
    "localId": "ZmFM0xv909YOYzOWxUIi19FRbT92"
}

[2023-08-22 07:41:28] [26] [INFO] Trying to parse IDP response to access token model
[2023-08-22 07:41:29] [26] [INFO] Request method:	POST
Request URI:	https://dev-halo5api1.halo.fitness/halo-system-utils/api/v1/password/reset?email=LIFEFITNESSPOSTMAN%2B02050158%40GMAIL.COM
Request params:	<none>
Query params:	email=LIFEFITNESSPOSTMAN+02050158@GMAIL.COM
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Authorization=P3jxJislR3PNt1P1gQxXepwRY8RiHGTps+Yld/5Ot50=
				Content-Type=application/json; charset=UTF-8
Body:			<none>
HTTP/1.1 201 Created
vary: Origin,Access-Control-Request-Method,Access-Control-Request-Headers
x-content-type-options: nosniff
x-xss-protection: 0
cache-control: no-cache, no-store, max-age=0, must-revalidate
pragma: no-cache
expires: 0
strict-transport-security: max-age=31536000 ; includeSubDomains
x-frame-options: DENY
X-Cloud-Trace-Context: 0836157f06ee225eb5452b4f5ecfc600;o=1
Date: Tue, 22 Aug 2023 07:41:29 GMT
Content-Type: text/html
Server: Google Frontend
Content-Length: 0
Via: 1.1 google
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000



[2023-08-22 07:41:29] [26] [INFO] Assert that api call was successful
[2023-08-22 07:41:29] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:30] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:31] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:31] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:32] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:32] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:33] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:33] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:34] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:34] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:35] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:35] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:36] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:37] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:37] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:38] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:38] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:39] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:39] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:40] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:41] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:41] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:42] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:42] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:43] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:43] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:44] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:44] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:45] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:46] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:46] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:47] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:47] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:48] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:48] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:49] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:49] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:50] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:50] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:51] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:52] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:52] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:53] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:53] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:54] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:54] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:55] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:55] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:56] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:56] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:57] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:58] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:58] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:59] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:59] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:00] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:00] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:01] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:01] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:02] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:02] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:03] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:04] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:04] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:05] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:05] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:06] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:06] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:07] [26] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:07] [26] [INFO] Waiting for 0.5 sec till email comes
