[2023-08-25 07:35:42] [22] [INFO] TEST [LifeFitness Backend Auto Tests - checkResetPasswordWithCamelCaseEmail] STARTED at [07:35:42 2023-08-25]
[2023-08-25 07:35:42] [22] [INFO] Setting default IDP method to call
[2023-08-25 07:35:42] [22] [INFO] Setting up IDP method to SIGN_UP
[2023-08-25 07:35:42] [22] [INFO] Base properties loaded: api/identityplatform/idp.properties
[2023-08-25 07:35:42] [22] [INFO] Sending PostSignUp IDP method to get access token
[2023-08-25 07:35:43] [22] [INFO] Request method:	POST
Request URI:	https://identitytoolkit.googleapis.com/v1/accounts:signUp?key=AIzaSyDuJaUYc3JtGHvbdX_7b-Nav25lXPmzuN0
Request params:	<none>
Query params:	key=AIzaSyDuJaUYc3JtGHvbdX_7b-Nav25lXPmzuN0
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Content-Type=application/json; charset=UTF-8
Body:
{
    "returnSecureToken": true,
    "email": "lifeFitnessPostman+08908132@gmail.com",
    "password": "tw1rfo8a8b0"
}
HTTP/1.1 200 OK
Cache-Control: no-cache, no-store, max-age=0, must-revalidate
Pragma: no-cache
Expires: Mon, 01 Jan 1990 00:00:00 GMT
Date: Fri, 25 Aug 2023 07:35:43 GMT
Content-Type: application/json; charset=UTF-8
Vary: Origin
Vary: X-Origin
Vary: Referer
Content-Encoding: gzip
Server: ESF
X-XSS-Protection: 0
X-Frame-Options: SAMEORIGIN
X-Content-Type-Options: nosniff
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000
Transfer-Encoding: chunked

{
    "kind": "identitytoolkit#SignupNewUserResponse",
    "idToken": "eyJhbGciOiJSUzI1NiIsImtpZCI6IjYzODBlZjEyZjk1ZjkxNmNhZDdhNGNlMzg4ZDJjMmMzYzIzMDJmZGUiLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3NlY3VyZXRva2VuLmdvb2dsZS5jb20vbGZjby1kZXYiLCJhdWQiOiJsZmNvLWRldiIsImF1dGhfdGltZSI6MTY5Mjk0ODk0MywidXNlcl9pZCI6IjJ3NklBVGhPR3hXUG5EenRyMm9JM25JQ2xyODMiLCJzdWIiOiIydzZJQVRoT0d4V1BuRHp0cjJvSTNuSUNscjgzIiwiaWF0IjoxNjkyOTQ4OTQzLCJleHAiOjE2OTI5NTI1NDMsImVtYWlsIjoibGlmZWZpdG5lc3Nwb3N0bWFuKzA4OTA4MTMyQGdtYWlsLmNvbSIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwiZmlyZWJhc2UiOnsiaWRlbnRpdGllcyI6eyJlbWFpbCI6WyJsaWZlZml0bmVzc3Bvc3RtYW4rMDg5MDgxMzJAZ21haWwuY29tIl19LCJzaWduX2luX3Byb3ZpZGVyIjoicGFzc3dvcmQifX0.PqHqI-cpE5YGxAXPDhd9baGI9VcbVGrd4FPD-KRFk_KNjsvJgxdj0QOEoyDiTIsVZ0wHXMDxwS1gNs1ugzI5P_mYS3aiAUFJyHMUfl9xoe4F3KHEvf56t2RRnI-tkda3zm0m24UMN3QE2TNijkwg4UwRh5jXjUQgaIuVKQf9aKKIJX0Oj9fgn3HtJHrvtEAp-upDFL_n6pd5g8Yu6CwUWClTUJgn2ewEq2KpNu4_vY0MbUtveJL5rhI6yMFTDIhUianhs6-io1zGc1-p-4oCugSjHiIprf6UpjLLr4tueb4wMvmyFK18ZjoI6iOG8OPiR2acvQEc26kXmHhkoULDBg",
    "email": "lifefitnesspostman+08908132@gmail.com",
    "refreshToken": "AMf-vBxwMfXCMYhlrRMeg_FcAVdgN-DH6BkGVV2rgsn1TOVYoOKNp0yRNW7dX1D34WgyB-0I6msKo_nriaqoI1hJP3GuYlnWQDa9icQHcs0hq-xRzWk5GSevZ2DflQga-96PkPdQWm3GxvwDRQUdr5zeDy_AaNf-bIeHfmjGjdcQlerXSQB3Jqav19r-INJaDqpA_4LaPyE9hKA0iwTR5B5JcoIZEhueeg",
    "expiresIn": "3600",
    "localId": "2w6IAThOGxWPnDztr2oI3nIClr83"
}

[2023-08-25 07:35:43] [22] [INFO] Trying to parse IDP response to access token model
[2023-08-25 07:35:44] [22] [INFO] Request method:	POST
Request URI:	https://dev-halo5api1.halo.fitness/halo-system-utils/api/v1/password/reset?email=lifeFitnessPostman%2B08908132%40gmail.com
Request params:	<none>
Query params:	email=lifeFitnessPostman+08908132@gmail.com
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Authorization=P3jxJislR3PNt1P1gQxXepwRY8RiHGTps+Yld/5Ot50=
				Content-Type=application/json; charset=UTF-8
Body:			<none>
HTTP/1.1 201 Created
vary: Origin,Access-Control-Request-Method,Access-Control-Request-Headers
x-content-type-options: nosniff
x-xss-protection: 0
cache-control: no-cache, no-store, max-age=0, must-revalidate
pragma: no-cache
expires: 0
strict-transport-security: max-age=31536000 ; includeSubDomains
x-frame-options: DENY
X-Cloud-Trace-Context: 1428494a3e0120380d1acabb91c71cf0;o=1
Date: Fri, 25 Aug 2023 07:35:44 GMT
Content-Type: text/html
Server: Google Frontend
Content-Length: 0
Via: 1.1 google
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000



[2023-08-25 07:35:44] [22] [INFO] Assert that api call was successful
[2023-08-25 07:35:44] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:44] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:45] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:46] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:46] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:47] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:47] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:48] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:48] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:49] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:49] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:50] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:51] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:51] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:52] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:52] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:53] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:53] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:54] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:55] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:55] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:56] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:56] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:57] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:57] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:58] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:58] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:35:59] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:00] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:00] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:01] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:01] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:02] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:02] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:03] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:04] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:04] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:05] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:05] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:06] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:06] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:07] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:07] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:08] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:09] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:09] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:10] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:11] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:11] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:12] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:12] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:13] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:13] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:14] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:15] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:15] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:16] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:16] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:17] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:17] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:18] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:18] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:19] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:20] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:20] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:21] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:21] [22] [INFO] Waiting for 0.5 sec till email comes
[2023-08-25 07:36:22] [22] [INFO] Waiting for 0.5 sec till email comes
