[2023-08-22 07:41:24] [23] [WARN] Reporting disabled: using no op test run registrar
[2023-08-22 07:41:24] [23] [INFO] TEST [LifeFitness Backend Auto Tests - checkResetPasswordWithCamelCaseEmail] STARTED at [07:41:24 2023-08-22]
[2023-08-22 07:41:24] [23] [INFO] Setting default IDP method to call
[2023-08-22 07:41:24] [23] [INFO] Setting up IDP method to SIGN_UP
[2023-08-22 07:41:24] [23] [INFO] Base properties loaded: api/identityplatform/idp.properties
[2023-08-22 07:41:24] [23] [INFO] Sending PostSignUp IDP method to get access token
[2023-08-22 07:41:24] [23] [INFO] Request method:	POST
Request URI:	https://identitytoolkit.googleapis.com/v1/accounts:signUp?key=AIzaSyDuJaUYc3JtGHvbdX_7b-Nav25lXPmzuN0
Request params:	<none>
Query params:	key=AIzaSyDuJaUYc3JtGHvbdX_7b-Nav25lXPmzuN0
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Content-Type=application/json; charset=UTF-8
Body:
{
    "returnSecureToken": true,
    "email": "lifeFitnessPostman+68280430@gmail.com",
    "password": "6xqtvzi9f"
}
HTTP/1.1 200 OK
Cache-Control: no-cache, no-store, max-age=0, must-revalidate
Expires: Mon, 01 Jan 1990 00:00:00 GMT
Date: Tue, 22 Aug 2023 07:41:24 GMT
Pragma: no-cache
Content-Type: application/json; charset=UTF-8
Vary: Origin
Vary: X-Origin
Vary: Referer
Content-Encoding: gzip
Server: ESF
X-XSS-Protection: 0
X-Frame-Options: SAMEORIGIN
X-Content-Type-Options: nosniff
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000
Transfer-Encoding: chunked

{
    "kind": "identitytoolkit#SignupNewUserResponse",
    "idToken": "eyJhbGciOiJSUzI1NiIsImtpZCI6IjYzODBlZjEyZjk1ZjkxNmNhZDdhNGNlMzg4ZDJjMmMzYzIzMDJmZGUiLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3NlY3VyZXRva2VuLmdvb2dsZS5jb20vbGZjby1kZXYiLCJhdWQiOiJsZmNvLWRldiIsImF1dGhfdGltZSI6MTY5MjY5MDA4NCwidXNlcl9pZCI6ImE1NnhHTFlZdDlkYTJ2aTFaZUptSHZhWlRKZzIiLCJzdWIiOiJhNTZ4R0xZWXQ5ZGEydmkxWmVKbUh2YVpUSmcyIiwiaWF0IjoxNjkyNjkwMDg0LCJleHAiOjE2OTI2OTM2ODQsImVtYWlsIjoibGlmZWZpdG5lc3Nwb3N0bWFuKzY4MjgwNDMwQGdtYWlsLmNvbSIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwiZmlyZWJhc2UiOnsiaWRlbnRpdGllcyI6eyJlbWFpbCI6WyJsaWZlZml0bmVzc3Bvc3RtYW4rNjgyODA0MzBAZ21haWwuY29tIl19LCJzaWduX2luX3Byb3ZpZGVyIjoicGFzc3dvcmQifX0.fdBKqgDBEEkzlcqSHOFuAv-ebexYiM4P-EoSsUCvZHgVV-sMCt95du7L1REPYZ3xGNKBMn_X3SfhPuOicxL_p9nrZhkYhm47shaPapx86EUgAc-el4Q7PEDQhd4EcNeJSkPSpvJPsFvJ6bV3VYXdBtvRuldkjz8NV3UsRP5MG1xpQlqIb34kz2dJ_OQQ3HchTXJaVyiqRbMpWzeJNH_9tFLXLH_bWFWggvn60VgHgvQv8iXX-5KRqmm1ka25lY4MQNZc4Q16mzk9iIAOYflpmzK5EHfHeqtf4S51tNSCE_etcYcFKB_G9F9gAxKVPGUPAL1Pg9bIXYdyzbRslxw8Bw",
    "email": "lifefitnesspostman+68280430@gmail.com",
    "refreshToken": "AMf-vBx77iPKBwynro5K00PpN_PvupvISVGB41EN3dniueJ-DkrsAvho1F9UdyWHEM01N9IguK2l2p3pmJeSqbC2ScoxoywloMDRVDB5hqJ1TYE3eQJLg-JO1agCaRvQR40o6OUGkUtPs6B3aLCLx7eiN3f2_TBnxDgb_3URmWI2BvFDvIWnhrKGzmzMZnuuDd1kRv_CTHQQ3TcsiPhQMiuCog7gajpLuw",
    "expiresIn": "3600",
    "localId": "a56xGLYYt9da2vi1ZeJmHvaZTJg2"
}

[2023-08-22 07:41:24] [23] [INFO] Trying to parse IDP response to access token model
[2023-08-22 07:41:27] [23] [INFO] Request method:	POST
Request URI:	https://dev-halo5api1.halo.fitness/halo-system-utils/api/v1/password/reset?email=lifeFitnessPostman%2B68280430%40gmail.com
Request params:	<none>
Query params:	email=lifeFitnessPostman+68280430@gmail.com
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Authorization=P3jxJislR3PNt1P1gQxXepwRY8RiHGTps+Yld/5Ot50=
				Content-Type=application/json; charset=UTF-8
Body:			<none>
HTTP/1.1 201 Created
vary: Origin,Access-Control-Request-Method,Access-Control-Request-Headers
x-content-type-options: nosniff
x-xss-protection: 0
cache-control: no-cache, no-store, max-age=0, must-revalidate
pragma: no-cache
expires: 0
strict-transport-security: max-age=31536000 ; includeSubDomains
x-frame-options: DENY
X-Cloud-Trace-Context: 14e72fd29c4f39186e9dbf9b04bcad66
Date: Tue, 22 Aug 2023 07:41:27 GMT
Content-Type: text/html
Server: Google Frontend
Content-Length: 0
Via: 1.1 google
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000



[2023-08-22 07:41:27] [23] [INFO] Assert that api call was successful
[2023-08-22 07:41:27] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:28] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:28] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:29] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:30] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:30] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:31] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:31] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:32] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:32] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:33] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:33] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:34] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:35] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:35] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:36] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:36] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:37] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:37] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:38] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:39] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:39] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:40] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:40] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:41] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:41] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:42] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:42] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:43] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:43] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:44] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:45] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:45] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:46] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:46] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:47] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:47] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:48] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:48] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:49] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:50] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:50] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:51] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:51] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:52] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:52] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:53] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:53] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:54] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:55] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:55] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:56] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:56] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:57] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:57] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:58] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:58] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:41:59] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:00] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:00] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:01] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:01] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:02] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:02] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:03] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:03] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:04] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:04] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-22 07:42:05] [23] [INFO] Waiting for 0.5 sec till email comes
