[2023-08-28 12:06:14] [23] [WARN] Reporting disabled: using no op test run registrar
[2023-08-28 12:06:14] [23] [INFO] TEST [LifeFitness Backend Auto Tests - checkResetPasswordWithCamelCaseEmail] STARTED at [12:06:14 2023-08-28]
[2023-08-28 12:06:14] [23] [INFO] Setting default IDP method to call
[2023-08-28 12:06:14] [23] [INFO] Setting up IDP method to SIGN_UP
[2023-08-28 12:06:14] [23] [INFO] Base properties loaded: api/identityplatform/idp.properties
[2023-08-28 12:06:14] [23] [INFO] Sending PostSignUp IDP method to get access token
[2023-08-28 12:06:14] [23] [INFO] Request method:	POST
Request URI:	https://identitytoolkit.googleapis.com/v1/accounts:signUp?key=AIzaSyDuJaUYc3JtGHvbdX_7b-Nav25lXPmzuN0
Request params:	<none>
Query params:	key=AIzaSyDuJaUYc3JtGHvbdX_7b-Nav25lXPmzuN0
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Content-Type=application/json; charset=UTF-8
Body:
{
    "returnSecureToken": true,
    "email": "lifeFitnessPostman+05803786@gmail.com",
    "password": "ytkdl7k69sgae3"
}
HTTP/1.1 200 OK
Pragma: no-cache
Expires: Mon, 01 Jan 1990 00:00:00 GMT
Date: Mon, 28 Aug 2023 12:06:14 GMT
Cache-Control: no-cache, no-store, max-age=0, must-revalidate
Content-Type: application/json; charset=UTF-8
Vary: Origin
Vary: X-Origin
Vary: Referer
Content-Encoding: gzip
Server: ESF
X-XSS-Protection: 0
X-Frame-Options: SAMEORIGIN
X-Content-Type-Options: nosniff
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000
Transfer-Encoding: chunked

{
    "kind": "identitytoolkit#SignupNewUserResponse",
    "idToken": "eyJhbGciOiJSUzI1NiIsImtpZCI6ImM2MGI5ZGUwODBmZmFmYmZjMTgzMzllY2Q0NGFjNzdmN2ZhNGU4ZDMiLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3NlY3VyZXRva2VuLmdvb2dsZS5jb20vbGZjby1kZXYiLCJhdWQiOiJsZmNvLWRldiIsImF1dGhfdGltZSI6MTY5MzIyNDM3NCwidXNlcl9pZCI6IlBSN3VxZEVDdXdld0tFSGdyTGZxaEcybjJwMjIiLCJzdWIiOiJQUjd1cWRFQ3V3ZXdLRUhnckxmcWhHMm4ycDIyIiwiaWF0IjoxNjkzMjI0Mzc0LCJleHAiOjE2OTMyMjc5NzQsImVtYWlsIjoibGlmZWZpdG5lc3Nwb3N0bWFuKzA1ODAzNzg2QGdtYWlsLmNvbSIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwiZmlyZWJhc2UiOnsiaWRlbnRpdGllcyI6eyJlbWFpbCI6WyJsaWZlZml0bmVzc3Bvc3RtYW4rMDU4MDM3ODZAZ21haWwuY29tIl19LCJzaWduX2luX3Byb3ZpZGVyIjoicGFzc3dvcmQifX0.cQOGnte66gLJ4QmFSJV5G3rzwzLp5szRFTDwz5awAP_IQCA7HXL5hzW3szJAN-K2qE23uqAm6e2iJXzWjS98dFskA3fcJpGdW-wILgfShvN2UFteFvT5L_mB_2a-sNOqHmV7oXyH8j1cvuWw1u3Fy_Tu7Z5FgJh9qiu3JWOtKVeH-QNn5HyNNyIwXIOyxdkTxM8AqMP5_wB2EBRq2BpGkiVLE-dWEfTsp9wxkVZiZYB45pIspv9Uz3R44htbnAy38eRyDKLFbNzX9xGa3n7JGCAbCk0TtkWoQ9gWJejAFR3sAoGjaq2MSK7ZHmgnvFQB4d2PPfHxx6MQBHn-_HP4sA",
    "email": "lifefitnesspostman+05803786@gmail.com",
    "refreshToken": "AMf-vBwrV9j5t9CDQCQ08CGj5s3z3UuMe6wVBIYaUi23ZbyJzLLvjrqP0n5RwGKiWSRT-wzt444c4iIjzdhvhInvBZzORR42yTuIligtYWc0ZEAJvlYmlYHe6BuQJBcBKoT7_7Epk45q43G61ACM7H9IGCdVE2AnCxGUTx0KgV4vO_FcS4Bdl9PfGM-amWqj2ILRvZ46BrHGHkvFgbzp6fKsCad2GRNxdA",
    "expiresIn": "3600",
    "localId": "PR7uqdECuwewKEHgrLfqhG2n2p22"
}

[2023-08-28 12:06:14] [23] [INFO] Trying to parse IDP response to access token model
[2023-08-28 12:06:20] [23] [INFO] Request method:	POST
Request URI:	https://dev-halo5api1.halo.fitness/halo-system-utils/api/v1/password/reset?email=lifeFitnessPostman%2B05803786%40gmail.com
Request params:	<none>
Query params:	email=lifeFitnessPostman+05803786@gmail.com
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Authorization=P3jxJislR3PNt1P1gQxXepwRY8RiHGTps+Yld/5Ot50=
				Content-Type=application/json; charset=UTF-8
Body:			<none>
HTTP/1.1 201 Created
vary: Origin,Access-Control-Request-Method,Access-Control-Request-Headers
x-content-type-options: nosniff
x-xss-protection: 0
cache-control: no-cache, no-store, max-age=0, must-revalidate
pragma: no-cache
expires: 0
strict-transport-security: max-age=31536000 ; includeSubDomains
x-frame-options: DENY
X-Cloud-Trace-Context: 410095dcacdb2082c4120cb66bef2063
Date: Mon, 28 Aug 2023 12:06:20 GMT
Content-Type: text/html
Server: Google Frontend
Content-Length: 0
Via: 1.1 google
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000



[2023-08-28 12:06:20] [23] [INFO] Assert that api call was successful
[2023-08-28 12:06:20] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:21] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:21] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:22] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:22] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:23] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:24] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:24] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:25] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:25] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:26] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:26] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:27] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:27] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:28] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:29] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:29] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:30] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:30] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:31] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:31] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:32] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:32] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:33] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:34] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:34] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:35] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:35] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:36] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:36] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:37] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:37] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:38] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:38] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:39] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:40] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:40] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:41] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:41] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:42] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:42] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:43] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:43] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:44] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:45] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:45] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:46] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:46] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:47] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:47] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:48] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:48] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:49] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:49] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:50] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:51] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:51] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:52] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:52] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:53] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:54] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:54] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:55] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:55] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:56] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:56] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:57] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:57] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:58] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-28 12:06:58] [23] [INFO] Waiting for 0.5 sec till email comes
