[2023-08-29 03:56:28] [23] [WARN] Reporting disabled: using no op test run registrar
[2023-08-29 03:56:28] [23] [INFO] TEST [LifeFitness Backend Auto Tests - checkResetPasswordWithUpperCaseEmail] STARTED at [03:56:28 2023-08-29]
[2023-08-29 03:56:28] [23] [INFO] Setting default IDP method to call
[2023-08-29 03:56:28] [23] [INFO] Setting up IDP method to SIGN_UP
[2023-08-29 03:56:28] [23] [INFO] Base properties loaded: api/identityplatform/idp.properties
[2023-08-29 03:56:28] [23] [INFO] Sending PostSignUp IDP method to get access token
[2023-08-29 03:56:29] [23] [INFO] Request method:	POST
Request URI:	https://identitytoolkit.googleapis.com/v1/accounts:signUp?key=AIzaSyCfEwH88Li2EsqBTrbI2o5JKXj7CiccNMo
Request params:	<none>
Query params:	key=AIzaSyCfEwH88Li2EsqBTrbI2o5JKXj7CiccNMo
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Content-Type=application/json; charset=UTF-8
Body:
{
    "returnSecureToken": true,
    "email": "LIFEFITNESSPOSTMAN+85111854@GMAIL.COM",
    "password": "fg262zjzwfgvra"
}
HTTP/1.1 200 OK
Cache-Control: no-cache, no-store, max-age=0, must-revalidate
Pragma: no-cache
Date: Tue, 29 Aug 2023 03:56:29 GMT
Expires: Mon, 01 Jan 1990 00:00:00 GMT
Content-Type: application/json; charset=UTF-8
Vary: Origin
Vary: X-Origin
Vary: Referer
Content-Encoding: gzip
Server: ESF
X-XSS-Protection: 0
X-Frame-Options: SAMEORIGIN
X-Content-Type-Options: nosniff
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000
Transfer-Encoding: chunked

{
    "kind": "identitytoolkit#SignupNewUserResponse",
    "idToken": "eyJhbGciOiJSUzI1NiIsImtpZCI6ImM2MGI5ZGUwODBmZmFmYmZjMTgzMzllY2Q0NGFjNzdmN2ZhNGU4ZDMiLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3NlY3VyZXRva2VuLmdvb2dsZS5jb20vbGZjby1xYS0xOTEyMDIiLCJhdWQiOiJsZmNvLXFhLTE5MTIwMiIsImF1dGhfdGltZSI6MTY5MzI4MTM4OSwidXNlcl9pZCI6IjQyNDA1U1hScGxZcHhaTkZ6dElQd21udkFuQzMiLCJzdWIiOiI0MjQwNVNYUnBsWXB4Wk5GenRJUHdtbnZBbkMzIiwiaWF0IjoxNjkzMjgxMzg5LCJleHAiOjE2OTMyODQ5ODksImVtYWlsIjoibGlmZWZpdG5lc3Nwb3N0bWFuKzg1MTExODU0QGdtYWlsLmNvbSIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwiZmlyZWJhc2UiOnsiaWRlbnRpdGllcyI6eyJlbWFpbCI6WyJsaWZlZml0bmVzc3Bvc3RtYW4rODUxMTE4NTRAZ21haWwuY29tIl19LCJzaWduX2luX3Byb3ZpZGVyIjoicGFzc3dvcmQifX0.p9j8XKBg_Lwwokl0jBUipm3ubaQrsrCdo9sv6DlFw0W2MBdZm3v72g1-JRHwrSlYYyrLr-rq3DPBDTq0hWt1pTNPIp6PVr4CZATRfZh7OqCUkGVsEIm1MPnB2VBvnprlpEEKpks0fb1RQ5qMn4qRKkYWYZpsUKjFoSOpOH7Xfn2RbV8dVb5C-C_ie-Vu52QIuyl5xWaGMuCw7BG6rLO7_vKGD4qM-yrKKEDRLinaVmYpWDxaOkCQDyvYW8hwt1iEa0IU01V5E1fRC4A8Eq3Pd60wZw04KYwXGIjH-rdr5tdlr9JPzVZK9PKPPV7cb20dcP8yb2pSN0zSYxq1765F_Q",
    "email": "lifefitnesspostman+85111854@gmail.com",
    "refreshToken": "AMf-vBxqq3JcLtdm0D3TNdNbvZcyXPH_Gj5Bmo2vt2YAiFsjOkrPkr9tGCbGDu8dv7BGtYLWVAF1f-ETVBPaSyWxZxi2yn_81crFud8WWuwUYdGKzcieko7NzIDYQafN9a1A27576UTxFxpk7KeDAiasSZIKNSqjQLlS8-YQZQXdRbp99i4ZyCa-QepGG4OJb5BPwznPHVivFRDGaN6iqgsnPoxcnwgP7ZuLMfD6LPGblCnm81pi8NE",
    "expiresIn": "3600",
    "localId": "42405SXRplYpxZNFztIPwmnvAnC3"
}

[2023-08-29 03:56:29] [23] [INFO] Trying to parse IDP response to access token model
[2023-08-29 03:56:32] [23] [INFO] Request method:	POST
Request URI:	https://vtqa-halo5api1.halo.fitness/halo-system-utils/api/v1/password/reset?email=LIFEFITNESSPOSTMAN%2B85111854%40GMAIL.COM
Request params:	<none>
Query params:	email=LIFEFITNESSPOSTMAN+85111854@GMAIL.COM
Form params:	<none>
Path params:	<none>
Multiparts:		<none>
Cookies:		<none>
Headers:		Accept=*/*
				Authorization=HGs/rc3aUDJe1KkKpJE479juIYXD/wcYtOEL8ubuTc8=
				Content-Type=application/json; charset=UTF-8
Body:			<none>
HTTP/1.1 201 Created
vary: Origin,Access-Control-Request-Method,Access-Control-Request-Headers
x-content-type-options: nosniff
x-xss-protection: 0
cache-control: no-cache, no-store, max-age=0, must-revalidate
pragma: no-cache
expires: 0
strict-transport-security: max-age=31536000 ; includeSubDomains
x-frame-options: DENY
X-Cloud-Trace-Context: 437378a4237d455b8c3773c0efec32b8
Date: Tue, 29 Aug 2023 03:56:32 GMT
Content-Type: text/html
Server: Google Frontend
Content-Length: 0
Via: 1.1 google
Alt-Svc: h3=":443"; ma=2592000,h3-29=":443"; ma=2592000



[2023-08-29 03:56:32] [23] [INFO] Assert that api call was successful
[2023-08-29 03:56:32] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:33] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:33] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:34] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:34] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:35] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:36] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:36] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:37] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:37] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:38] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:38] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:39] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:39] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:40] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:41] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:41] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:42] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:42] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:43] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:43] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:44] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:44] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:45] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:45] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:46] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:47] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:47] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:48] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:48] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:49] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:49] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:50] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:50] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:51] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:52] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:52] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:53] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:53] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:54] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:54] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:55] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:55] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:56] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:56] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:57] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:58] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:58] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:59] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:56:59] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:00] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:00] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:01] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:01] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:02] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:02] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:03] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:03] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:04] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:05] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:05] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:06] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:06] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:07] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:07] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:08] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:08] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:09] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:09] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:10] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:11] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:11] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:12] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:12] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:13] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:13] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:14] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:14] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:15] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:15] [23] [INFO] Waiting for 0.5 sec till email comes
[2023-08-29 03:57:16] [23] [INFO] Waiting for 0.5 sec till email comes
