"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Aug 25 13:31:52 UTC 2023","Fri Aug 25 13:31:52 UTC 2023","0","LifeFitness Backend Auto Tests","LifeFitness Backend Auto Tests","com.lifefitness.qa.api.core.controllers.user.postfacility.PostFacilityTest","com.lifefitness.qa.api.core.controllers.user.postfacility.PostFacilityTest","checkThatPlaceIdCantBeCreatedWithExistingPlaceId","Check that facility can't be created with existing placeId",""
"skipped","Fri Aug 25 13:31:53 UTC 2023","Fri Aug 25 13:31:53 UTC 2023","0","LifeFitness Backend Auto Tests","LifeFitness Backend Auto Tests","com.lifefitness.qa.api.core.controllers.user.postregistration.PostRegistrationTest","com.lifefitness.qa.api.core.controllers.user.postregistration.PostRegistrationTest","checkThatUserCantBeRegisteredWithNullPlaceId","Check that user can't be registered without placeId",""
"skipped","Fri Aug 25 13:31:53 UTC 2023","Fri Aug 25 13:31:53 UTC 2023","0","LifeFitness Backend Auto Tests","LifeFitness Backend Auto Tests","com.lifefitness.qa.api.core.controllers.user.postuser.PostUserTest","com.lifefitness.qa.api.core.controllers.user.postuser.PostUserTest","checkThatUserCantBeCreatedWithoutToken","Check that user can't be created without token",""
"skipped","Fri Aug 25 13:31:50 UTC 2023","Fri Aug 25 13:31:50 UTC 2023","0","LifeFitness Backend Auto Tests","LifeFitness Backend Auto Tests","com.lifefitness.qa.api.core.controllers.user.deleteuserfromfacility.DeleteUserFromFacilityTest","com.lifefitness.qa.api.core.controllers.user.deleteuserfromfacility.DeleteUserFromFacilityTest","checkThatUserWithoutAddEditPermissionAreNotAbleToDeletedUserFromExistingFacilityTest","Check what user without ‘Add/Edit Users’ permission are not able to deleted from existing facility",""
"skipped","Fri Aug 25 13:31:53 UTC 2023","Fri Aug 25 13:31:53 UTC 2023","0","LifeFitness Backend Auto Tests","LifeFitness Backend Auto Tests","com.lifefitness.qa.api.core.controllers.user.postregistration.PostRegistrationTest","com.lifefitness.qa.api.core.controllers.user.postregistration.PostRegistrationTest","checkThatUserCantBeRegisteredWithEmptyStringFirstName","Check that user can't be registered with empty string first name",""
"skipped","Fri Aug 25 13:31:50 UTC 2023","Fri Aug 25 13:31:50 UTC 2023","0","LifeFitness Backend Auto Tests","LifeFitness Backend Auto Tests","com.lifefitness.qa.api.core.controllers.user.getuserrolesbyid.GetUserRolesByIdTest","com.lifefitness.qa.api.core.controllers.user.getuserrolesbyid.GetUserRolesByIdTest","checkGettingUserRolesWithEmptyStringPathParam","Check that user roles are not returned with empty string path param",""
"skipped","Fri Aug 25 13:31:52 UTC 2023","Fri Aug 25 13:31:52 UTC 2023","0","LifeFitness Backend Auto Tests","LifeFitness Backend Auto Tests","com.lifefitness.qa.api.core.controllers.user.postfacilityaccessapprove.PostFacilityAccessApproveTest","com.lifefitness.qa.api.core.controllers.user.postfacilityaccessapprove.PostFacilityAccessApproveTest","checkThatUserCanBeApprovedWithMultiDomainEmail","Check that user can be approved with multi domain email",""
"skipped","Fri Aug 25 13:31:51 UTC 2023","Fri Aug 25 13:31:51 UTC 2023","1","LifeFitness Backend Auto Tests","LifeFitness Backend Auto Tests","com.lifefitness.qa.api.core.controllers.user.patchselectedfacility.PatchSelectedFacilityTest","com.lifefitness.qa.api.core.controllers.user.patchselectedfacility.PatchSelectedFacilityTest","checkPatchingToNonExistentFacility","Check patching to non existing facility",""
"skipped","Fri Aug 25 13:31:54 UTC 2023","Fri Aug 25 13:31:54 UTC 2023","0","LifeFitness Backend Auto Tests","LifeFitness Backend Auto Tests","com.lifefitness.qa.api.utils.controllers.idpuser.deleteidpuser.DeleteIdpUserTest","com.lifefitness.qa.api.utils.controllers.idpuser.deleteidpuser.DeleteIdpUserTest","checkThatUserCanBeDeletedFromIdpByUpperCaseEmail","Check that user can be deleted from IDP by upper case email",""
"skipped","Fri Aug 25 13:31:53 UTC 2023","Fri Aug 25 13:31:53 UTC 2023","0","LifeFitness Backend Auto Tests","LifeFitness Backend Auto Tests","com.lifefitness.qa.api.core.controllers.user.putuserdetails.PutUserDetailsTest","com.lifefitness.qa.api.core.controllers.user.putuserdetails.PutUserDetailsTest","checkThatEmailFieldDoesNotAllowSpecialChars","Check that email field does not allow special chars",""
